com.jonathanlanis.boost2	1.0.9	11	15	com.openfeint.internal.OpenFeintInternal	validateManifest	android.permission.INTERNET	CUSTOM	<com.openfeint.internal.OpenFeintInternal: void initializeWithoutLoggingIn(android.content.Context,com.openfeint.api.OpenFeintSettings,com.openfeint.api.OpenFeintDelegate)>, CUSTOM;<com.openfeint.internal.OpenFeintInternal: void initialize(android.content.Context,com.openfeint.api.OpenFeintSettings,com.openfeint.api.OpenFeintDelegate)>, CUSTOM;<com.openfeint.api.OpenFeint: void initialize(android.content.Context,com.openfeint.api.OpenFeintSettings,com.openfeint.api.OpenFeintDelegate)>, CUSTOM;<com.jonathanlanis.boost2.DemoActivity: void initOpenFeint()>, ACTIVITY;<com.jonathanlanis.boost2.DemoActivity: void onCreate(android.os.Bundle)>, ACTIVITY;
com.sololearn.sql	3.4.2	40	24	com.sololearn.app.AppActivity	promptReadExternalStoragePermissions	android.permission.READ_EXTERNAL_STORAGE",android.permission.READ_EXTERNAL_STORAGE	ACTIVITY	<com.sololearn.app.ProfileActivity: boolean handleIntentAction(java.lang.String,android.net.Uri)>, ACTIVITY;<com.sololearn.app.AppActivity: void handleIntentAction()>, ACTIVITY;<com.sololearn.app.AppActivity: void onResume()>, ACTIVITY;
com.sololearn.sql	3.4.2	40	24	com.sololearn.app.AppActivity	promptLocationPermissions	android.permission.ACCESS_FINE_LOCATION",android.permission.ACCESS_COARSE_LOCATION",android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION	ACTIVITY	<com.sololearn.app.App: void promptLocation()>, CUSTOM;<com.sololearn.app.App: void initializeComponents()>, CUSTOM;<com.sololearn.app.App: boolean initializeFromCache()>, CUSTOM;<com.sololearn.app.MainActivity: void navigateHomeOnStart()>, ACTIVITY;<com.sololearn.app.AppActivity: void onResume()>, ACTIVITY;
au.com.softology.visionsofchaos	1.18	18	24	au.com.softology.visionsofchaos.MainActivity	isStoragePermissionGranted	android.permission.WRITE_EXTERNAL_STORAGE",android.permission.WRITE_EXTERNAL_STORAGE	ACTIVITY	<au.com.softology.visionsofchaos.MainActivity: boolean onOptionsItemSelected(android.view.MenuItem)>, ACTIVITY;
com.yijia	3.5.6	256	17	com.umeng.common.b	k	android.permission.ACCESS_NETWORK_STATE",	CUSTOM	<com.umeng.fb.c.a: org.json.JSONObject b(android.content.Context)>, CUSTOM;<com.umeng.fb.a.b: void a(org.json.JSONObject)>, CUSTOM;<com.umeng.fb.a.b: boolean a(com.umeng.fb.model.UserTitleReply)>, CUSTOM;<com.umeng.fb.a.b: boolean a(com.umeng.fb.model.Reply)>, CUSTOM;<com.umeng.fb.model.Conversation$1: void run()>, CUSTOM;<com.umeng.fb.model.Conversation: void sync(com.umeng.fb.model.Conversation$SyncListener)>, CUSTOM;<com.umeng.fb.ConversationActivity: void a()>, ACTIVITY;<com.umeng.fb.ConversationActivity: void onCreate(android.os.Bundle)>, ACTIVITY;
com.chinatelecom.enterprisecontact	1.9.9.0	56	-1	com.umeng.common.b	j	android.permission.ACCESS_NETWORK_STATE",	CUSTOM	<com.umeng.fb.g: org.json.JSONObject c(android.content.Context)>, CUSTOM;<com.umeng.fb.util.b: org.json.JSONObject a(android.content.Context,java.lang.String,int,int,org.json.JSONObject,org.json.JSONObject)>, CUSTOM;<com.umeng.fb.ui.SendFeedback$b: void onClick(android.view.View)>, CUSTOM;
com.yijia.nvzhuang	1.8.1	203	-1	com.mobclick.android.f	g	android.permission.ACCESS_NETWORK_STATE",	CUSTOM	<com.mobclick.android.f: org.json.JSONObject f(android.content.Context)>, CUSTOM;<com.feedback.c.d: org.json.JSONObject a(android.content.Context,java.lang.String,int,int)>, CUSTOM;<com.feedback.ui.f: void onClick(android.view.View)>, CUSTOM;
com.softek.ofxclmobile.fortcampbellfcu	3.0.1	12386	7	org.acra.b.d	a	android.permission.READ_PHONE_STATE",android.permission.READ_LOGS"	CUSTOM	<org.acra.ErrorReporter: void a(java.lang.Throwable,org.acra.ReportingInteractionMode,boolean,boolean)>, CUSTOM;<org.acra.ErrorReporter: void a(java.lang.Throwable)>, CUSTOM;<com.softek.ofxclmobile.bf: void onClick(android.view.View)>, CUSTOM;
k.microcells.wifiscan	1.0.29	29	-1	com.mobclick.android.l	f	android.permission.ACCESS_NETWORK_STATE",	CUSTOM	<com.mobclick.android.l: org.json.JSONObject e(android.content.Context)>, CUSTOM;<com.feedback.b.b: org.json.JSONObject a(android.content.Context,java.lang.String,int,int)>, CUSTOM;<com.feedback.ui.j: void onClick(android.view.View)>, CUSTOM;
com.venteprivee	2.2.1	20160222	23	com.venteprivee.ui.activity.cart.ChoosePickupPointActivity	findUserLocation	android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION	ACTIVITY	<com.venteprivee.ui.activity.cart.ChoosePickupPointActivity: boolean onOptionsItemSelected(android.view.MenuItem)>, ACTIVITY;
